,0
0,121519.48656870998
1,159637.89835116238
2,187900.72801904546
3,200719.15808522393
4,199280.93485459028
5,172150.58023804918
6,175725.36942368458
7,160007.0520263616
8,199628.64494952973
9,120940.92119811955
10,168854.11352699588
11,96224.90596214792
12,95102.93526592836
13,144991.22025548713
14,107578.80816110506
15,362520.99203367275
16,254447.91123566474
17,313770.71045338496
18,302293.8390440021
19,498234.8330637111
20,328114.6622079385
21,208777.60502693805
22,183516.58413562717
23,159881.74008952122
24,187666.14970685178
25,189198.1822950518
26,344355.74080852175
27,228316.69315217668
28,194714.27489119538
29,250808.006880998
30,196485.22666556697
31,97484.03835830005
32,179764.5336858304
33,304346.02334068646
34,288971.2472958978
35,232869.67663467536
36,184067.26453929843
37,191445.86840953035
38,169928.55999513768
39,159757.73132295193
40,178058.840047353
41,139310.784749261
42,321372.7619004811
43,239390.75294045545
44,229172.85783113097
45,191411.65423944034
46,245082.90683992842
47,200435.5006925448
48,155763.7090506609
49,145549.10443303164
50,169178.33941880398
51,171467.39524371963
52,146193.08218789563
53,158534.61361391182
54,186091.45811555305
55,153208.78860976003
56,175133.58940212376
57,130435.33581455218
58,207643.6848801982
59,125638.73734398658
60,134112.95737830494
61,175903.61020447922
62,116853.01782366582
63,127550.95661767878
64,117872.07536080742
65,111779.62290247284
66,109362.9666239849
67,132419.06956437696
68,157802.33522643583
69,192077.14517930546
70,109526.13240775335
71,92063.84552807902
72,153908.1774400425
73,125926.13322289671
74,147164.10425473686
75,104371.99465384168
76,59240.864420913655
77,151127.42963815463
78,193392.91897892943
79,84825.17630046341
80,140722.63546525352
81,157275.68508799767
82,178345.96848263632
83,84101.2697851102
84,116715.10121745436
85,136669.87260025012
86,133573.48779737746
87,141061.70027906346
88,121057.54017903098
89,136773.5804344798
90,102338.04409863852
91,140093.25960230335
92,145076.78079433343
93,114715.23941541158
94,166703.56550734825
95,83042.63090940932
96,123300.24725390517
97,105326.96357595071
98,59389.77456784331
99,128734.77249807982
100,125050.09781914145
101,130491.39232265478
102,120552.632047759
103,159493.46430689306
104,157224.6825748849
105,237690.87818133083
106,78603.31929950893
107,238868.67450030652
108,138457.62387079315
109,130797.9284632465
110,110995.31014337961
111,141939.34718994173
112,228441.9291576501
113,119858.71569404034
114,240737.08246577796
115,231060.40093008097
116,175421.97270392792
117,146996.87420652964
118,152009.60967482574
119,194727.6601247395
120,158141.82100991544
121,125713.08922266653
122,286287.3891678264
123,214814.54318542828
124,133629.365393659
125,77073.97086028218
126,108732.90104931462
127,146363.80396922678
128,98715.24726883421
129,126959.45407697365
130,92934.43280962744
131,121339.06438162438
132,128981.86822783516
133,129309.07543965612
134,114276.32727589588
135,217072.37321901537
136,207385.80776981195
137,231295.01188391578
138,170296.31067189685
139,160415.25404432917
140,64954.608877458275
141,118999.74242075825
142,62474.20320992373
143,261905.54945578246
144,229173.54682474284
145,162926.1681765467
146,174922.4122822747
147,216934.00669446605
148,181548.60434940117
149,152661.77131675626
150,135863.6788819061
151,173572.34152147363
152,166160.8425513648
153,124476.65386211594
154,92042.22189922973
155,78975.459864234
156,91614.49726908217
157,138660.68501455005
158,139561.07553463188
159,148754.25377448046
160,133707.1742460516
161,145985.61337933835
162,246046.17839435284
163,202372.9086313525
164,115252.45354487063
165,168652.6243712486
166,195602.03619906487
167,275244.0662306891
168,179998.14597169185
